[2022-03-04 08:43:36,350] DEEPMD INFO    deepmd.train.trainer                          batch    3500 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:43:37,500] DEEPMD INFO    deepmd.train.trainer                          batch    3600 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:43:38,658] DEEPMD INFO    deepmd.train.trainer                          batch    3700 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:43:39,817] DEEPMD INFO    deepmd.train.trainer                          batch    3800 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:43:40,990] DEEPMD INFO    deepmd.train.trainer                          batch    3900 training time 1.08 s, testing time 0.01 s
[2022-03-04 08:43:42,275] DEEPMD INFO    deepmd.train.trainer                          batch    4000 training time 1.10 s, testing time 0.01 s
[2022-03-04 08:43:42,477] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 08:43:43,673] DEEPMD INFO    deepmd.train.trainer                          batch    4100 training time 1.10 s, testing time 0.01 s
[2022-03-04 08:43:44,828] DEEPMD INFO    deepmd.train.trainer                          batch    4200 training time 1.07 s, testing time 0.01 s
[2022-03-04 08:43:45,973] DEEPMD INFO    deepmd.train.trainer                          batch    4300 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:43:47,116] DEEPMD INFO    deepmd.train.trainer                          batch    4400 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:43:48,262] DEEPMD INFO    deepmd.train.trainer                          batch    4500 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:43:49,407] DEEPMD INFO    deepmd.train.trainer                          batch    4600 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:43:50,551] DEEPMD INFO    deepmd.train.trainer                          batch    4700 training time 1.06 s, testing time 0.01 s
[2022-03-04 08:43:51,728] DEEPMD INFO    deepmd.train.trainer                          batch    4800 training time 1.09 s, testing time 0.01 s
[2022-03-04 08:43:52,885] DEEPMD INFO    deepmd.train.trainer                          batch    4900 training time 1.07 s, testing time 0.01 s
