[2022-03-04 01:03:28,328] DEEPMD INFO    deepmd.train.trainer                          batch    3500 training time 21.49 s, testing time 0.12 s
[2022-03-04 01:03:50,171] DEEPMD INFO    deepmd.train.trainer                          batch    3600 training time 21.62 s, testing time 0.12 s
[2022-03-04 01:04:12,112] DEEPMD INFO    deepmd.train.trainer                          batch    3700 training time 21.70 s, testing time 0.13 s
[2022-03-04 01:04:33,746] DEEPMD INFO    deepmd.train.trainer                          batch    3800 training time 21.40 s, testing time 0.13 s
[2022-03-04 01:04:55,535] DEEPMD INFO    deepmd.train.trainer                          batch    3900 training time 21.56 s, testing time 0.12 s
[2022-03-04 01:05:17,601] DEEPMD INFO    deepmd.train.trainer                          batch    4000 training time 21.78 s, testing time 0.12 s
[2022-03-04 01:05:17,798] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 01:05:39,352] DEEPMD INFO    deepmd.train.trainer                          batch    4100 training time 21.32 s, testing time 0.13 s
[2022-03-04 01:06:01,071] DEEPMD INFO    deepmd.train.trainer                          batch    4200 training time 21.48 s, testing time 0.13 s
[2022-03-04 01:06:22,833] DEEPMD INFO    deepmd.train.trainer                          batch    4300 training time 21.52 s, testing time 0.13 s
[2022-03-04 01:06:44,717] DEEPMD INFO    deepmd.train.trainer                          batch    4400 training time 21.65 s, testing time 0.12 s
[2022-03-04 01:07:06,679] DEEPMD INFO    deepmd.train.trainer                          batch    4500 training time 21.73 s, testing time 0.13 s
[2022-03-04 01:07:28,314] DEEPMD INFO    deepmd.train.trainer                          batch    4600 training time 21.42 s, testing time 0.10 s
[2022-03-04 01:07:50,279] DEEPMD INFO    deepmd.train.trainer                          batch    4700 training time 21.73 s, testing time 0.12 s
[2022-03-04 01:08:12,059] DEEPMD INFO    deepmd.train.trainer                          batch    4800 training time 21.55 s, testing time 0.13 s
[2022-03-04 01:08:33,878] DEEPMD INFO    deepmd.train.trainer                          batch    4900 training time 21.58 s, testing time 0.13 s
[2022-03-04 01:08:55,702] DEEPMD INFO    deepmd.train.trainer                          batch    5000 training time 21.60 s, testing time 0.11 s
[2022-03-04 01:09:17,546] DEEPMD INFO    deepmd.train.trainer                          batch    5100 training time 21.62 s, testing time 0.11 s
[2022-03-04 01:09:39,291] DEEPMD INFO    deepmd.train.trainer                          batch    5200 training time 21.52 s, testing time 0.12 s
[2022-03-04 01:10:01,124] DEEPMD INFO    deepmd.train.trainer                          batch    5300 training time 21.60 s, testing time 0.12 s
[2022-03-04 01:10:22,756] DEEPMD INFO    deepmd.train.trainer                          batch    5400 training time 21.39 s, testing time 0.14 s
[2022-03-04 01:10:44,825] DEEPMD INFO    deepmd.train.trainer                          batch    5500 training time 21.83 s, testing time 0.13 s
[2022-03-04 01:11:06,599] DEEPMD INFO    deepmd.train.trainer                          batch    5600 training time 21.56 s, testing time 0.11 s
[2022-03-04 01:11:28,260] DEEPMD INFO    deepmd.train.trainer                          batch    5700 training time 21.46 s, testing time 0.10 s
[2022-03-04 01:11:50,372] DEEPMD INFO    deepmd.train.trainer                          batch    5800 training time 21.86 s, testing time 0.14 s
[2022-03-04 01:12:12,229] DEEPMD INFO    deepmd.train.trainer                          batch    5900 training time 21.64 s, testing time 0.11 s
[2022-03-04 01:12:34,122] DEEPMD INFO    deepmd.train.trainer                          batch    6000 training time 21.59 s, testing time 0.13 s
[2022-03-04 01:12:34,338] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 01:12:56,191] DEEPMD INFO    deepmd.train.trainer                          batch    6100 training time 21.63 s, testing time 0.12 s
[2022-03-04 01:13:17,936] DEEPMD INFO    deepmd.train.trainer                          batch    6200 training time 21.51 s, testing time 0.13 s
[2022-03-04 01:13:39,878] DEEPMD INFO    deepmd.train.trainer                          batch    6300 training time 21.72 s, testing time 0.11 s
[2022-03-04 01:14:01,760] DEEPMD INFO    deepmd.train.trainer                          batch    6400 training time 21.66 s, testing time 0.11 s
[2022-03-04 01:14:23,611] DEEPMD INFO    deepmd.train.trainer                          batch    6500 training time 21.63 s, testing time 0.11 s
[2022-03-04 01:14:45,758] DEEPMD INFO    deepmd.train.trainer                          batch    6600 training time 21.93 s, testing time 0.11 s
[2022-03-04 01:15:07,632] DEEPMD INFO    deepmd.train.trainer                          batch    6700 training time 21.65 s, testing time 0.11 s
[2022-03-04 01:15:29,833] DEEPMD INFO    deepmd.train.trainer                          batch    6800 training time 21.97 s, testing time 0.12 s
[2022-03-04 01:15:51,325] DEEPMD INFO    deepmd.train.trainer                          batch    6900 training time 21.27 s, testing time 0.12 s
[2022-03-04 01:16:12,859] DEEPMD INFO    deepmd.train.trainer                          batch    7000 training time 21.32 s, testing time 0.11 s
[2022-03-04 01:16:34,653] DEEPMD INFO    deepmd.train.trainer                          batch    7100 training time 21.57 s, testing time 0.12 s
[2022-03-04 01:16:56,218] DEEPMD INFO    deepmd.train.trainer                          batch    7200 training time 21.36 s, testing time 0.10 s
[2022-03-04 01:17:17,924] DEEPMD INFO    deepmd.train.trainer                          batch    7300 training time 21.49 s, testing time 0.11 s
[2022-03-04 01:17:39,640] DEEPMD INFO    deepmd.train.trainer                          batch    7400 training time 21.48 s, testing time 0.12 s
[2022-03-04 01:18:01,597] DEEPMD INFO    deepmd.train.trainer                          batch    7500 training time 21.73 s, testing time 0.12 s
[2022-03-04 01:18:23,610] DEEPMD INFO    deepmd.train.trainer                          batch    7600 training time 21.78 s, testing time 0.13 s
[2022-03-04 01:18:45,455] DEEPMD INFO    deepmd.train.trainer                          batch    7700 training time 21.60 s, testing time 0.13 s
[2022-03-04 01:19:07,152] DEEPMD INFO    deepmd.train.trainer                          batch    7800 training time 21.45 s, testing time 0.13 s
[2022-03-04 01:19:29,112] DEEPMD INFO    deepmd.train.trainer                          batch    7900 training time 21.74 s, testing time 0.11 s
[2022-03-04 01:19:50,790] DEEPMD INFO    deepmd.train.trainer                          batch    8000 training time 21.40 s, testing time 0.11 s
[2022-03-04 01:19:50,989] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 01:20:13,044] DEEPMD INFO    deepmd.train.trainer                          batch    8100 training time 21.83 s, testing time 0.11 s
[2022-03-04 01:20:35,028] DEEPMD INFO    deepmd.train.trainer                          batch    8200 training time 21.74 s, testing time 0.14 s
